1022,1022,ATERRO,IMPOSTO TERRITORIAL RURAL,0963,CONSERTO DE MAQUINA DE LAVAR LOUÇAS (PEÇAS+MÃO-DE-OBRA)
1023,1023,PEDRA BRITADA,SPU (SERVIÇO DE PATRIMONIO DA UNIÃO),0964,CONSERTO DE FILMADORA (PEÇA)
1023,1023,BRITA,SPU (SERVIÇO DE PATRIMONIO DA UNIÃO),0965,CONSERTO DE FILMADORA (MÃO-DE-OBRA)
1023,1023,PO DE PEDRA,SPU (SERVIÇO DE PATRIMONIO DA UNIÃO),0966,CONSERTO DE ENCERADEIRA (PEÇA)
1023,1023,PEDRA MARROADA,SPU (SERVIÇO DE PATRIMONIO DA UNIÃO),0967,CONSERTO DE ENCERADEIRA (MÃO-DE-OBRA)
1023,1023,PEDRA PARA ALICERCE,SPU (SERVIÇO DE PATRIMONIO DA UNIÃO),0968,CONSERTO DE ENCERADEIRA (PEÇA+MÃO-DE-OBRA)
1024,1024,PORTÃO,,0969,CONSERTO DE MICROCOMPUTADOR (PEÇA)
1025,1025,INPS PARA OBRA,,0970,CONSERTO DE MICROCOMPUTADOR (MÃO-DE-OBRA)
1026,1026,BASCULANTE,,0971,CONSERTO DE MICROCOMPUTADOR (PEÇA+MÃO-DE-OBRA)
1027,1027,COLA (EXCETO DUREPOX),,0972,CONSERTO DE CHUVEIRO ELÉTRICO (PEÇA)
1028,1028,ARGAMASSA,,0973,CONSERTO DE CHUVEIRO ELÉTRICO (MÃO-DE-OBRA)
1029,1029,"TELHAS (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.)",,0974,CONSERTO DE CHUVEIRO ELÉTRICO (PEÇA+MÃO-DE-OBRA)
1030,1030,SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL,,0975,CONSERTO DE SECADOR DE CABELOS (PEÇA)
1030,1030,SOLEIRA DE QUALQUER MATERIAL,,0976,CONSERTO DE SECADOR DE CABELOS (MÃO-DE-OBRA)
1030,1030,PARAPEITO DE JANELA DE QUALQUER MATERIAL,,0977,CONSERTO DE SECADOR DE CABELOS (PEÇA+MÃO-DE-OBRA)
1031,1031,PEDRA MARMORE,,0998,AGREGADO 3
1031,1031,MARMORE (PEDRA),,1000,DESPESAS DO DOMICÍLIO PRINCIPAL COM HABITAÇÃO
1031,1031,BALCÃO DE MARMORE PARA PIA,,1005,ALUGUEL DO IMÓVEL (DOMICÍLIO PRINCIPAL)
1032,1032,CAIXA D'AGUA,,1007,PRESTAÇÃO DO IMÓVEL (DOMICÍLIO PRINCIPAL)
1032,1032,TAMPA PARA CAIXA D'AGUA,,1010,ALUGUEL DE GARAGEM (DOMICÍLIO PRINCIPAL)
1033,1033,GRADE DE FERRO,,1012,CONDOMÍNIO (DOMICÍLIO PRINCIPAL)
1034,1034,BLOCO DE CIMENTO,,1014,IMPOSTO PREDIAL (DOMICÍLIO PRINCIPAL)
1034,1034,BLOCKET (BLOCO DE CIMENTO),,1016,"ADICIONAIS DE ALUGUEL DO IMOVEL (JUROS, MULTA, ETC.) (DOMICÍLIO PRINCIPAL)"
1035,1035,BOX PARA BANHEIRO,,1017,"ADICIONAIS DE PRESTAÇÃO DO IMOVEL (JUROS, MULTA, ETC.) (DOMICÍLIO PRINCIPAL)"
1036,1036,TANQUE,,1018,"ADICIONAIS DE ALUGUEL DE GARAGEM (JUROS, MULTA, ETC.) (DOMICÍLIO PRINCIPAL)"
1037,1037,PORTAL,,1019,"ADICIONAIS DE CONDOMÍNIO (JUROS, MULTAS, ETC.) (DOMICÍLIO PRINCIPAL)"
1038,1038,CAIXA DE LUZ (PADRÃO),,1020,"ADICIONAIS DE IMPOSTO PREDIAL (JUROS, MULTA, ETC.) (DOMICÍLIO PRINCIPAL)"
1039,1039,CAIXA DE DESCARGA,,1021,TAXA EXTRA DE CONDOMÍNIO (REFORMA E MANUTENÇÃO DE PREDIO)
1040,1040,GESSO PARA CONSTRUÇÃO E REFORMA,,1021,"AQUISIÇÃO DE IMOVEL À VISTA (VALOR PAGO, IMPOSTOS DE TRANSMISSÃO, ETC.) (DOMICILIO PRINCIPAL)"
