0,1,2,3,4,6,13,14,15,16,17,18,19,20,21
2002,Despesas diversas (DDI),Higiene_e_cuidados_pessoais,Sabonete,"96003, 96014, 96019",,Sabonete,"96003, 96014, 96019",Codigo  %in% c(,"96003, 96014, 96019","), """,35003,""",",Sabonete,35003
2002,Despesas diversas (DDI),Higiene_e_cuidados_pessoais,Produtos_de_uso_pessoal,"30001, 30003:30010, 30013:30028, 30030:30033, 30098, 96001:96002, 96005:96009, 96011:96013, 96015:96018, 96020",,Produtos_de_uso_pessoal,"30001, 30003:30010, 30013:30028, 30030:30033, 30098, 96001:96002, 96005:96009, 96011:96013, 96015:96018, 96020",Codigo  %in% c(,"30001, 30003:30010, 30013:30028, 30030:30033, 30098, 96001:96002, 96005:96009, 96011:96013, 96015:96018, 96020","), """,35004,""",",Produtos_de_uso_pessoal,35004
2002,Despesas diversas (DDI),Assistencia_a_saude,Remedios,"29001:29050, 29074, 29084:29085, 29088:29099, 29101:29104, 29106:29129, 29131",,Remedios,"29001:29050, 29074, 29084:29085, 29088:29099, 29101:29104, 29106:29129, 29131",Codigo  %in% c(,"29001:29050, 29074, 29084:29085, 29088:29099, 29101:29104, 29106:29129, 29131","), """,36001,""",",Remedios,36001
2002,Despesas diversas (DDI),Assistencia_a_saude,Plano_Seguro_saude,"42014, 42025, 42031",,Plano_Seguro_saude,"42014, 42025, 42031",Codigo  %in% c(,"42014, 42025, 42031","), """,36002,""",",Plano_Seguro_saude,36002
2002,Despesas diversas (DDI),Assistencia_a_saude,Consulta_e_tratamento_dentario,"42003:42004, 42037",,Consulta_e_tratamento_dentario,"42003:42004, 42037",Codigo  %in% c(,"42003:42004, 42037","), """,36003,""",",Consulta_e_tratamento_dentario,36003
2002,Despesas diversas (DDI),Assistencia_a_saude,Consulta_medica,42038:42050,,Consulta_medica,42038:42050,Codigo  %in% c(,42038:42050,"), """,36004,""",",Consulta_medica,36004
2002,Despesas diversas (DDI),Assistencia_a_saude,Tratamento_ambulatorial,"42010, 42015, 42020, 42036, 42051:42054",,Tratamento_ambulatorial,"42010, 42015, 42020, 42036, 42051:42054",Codigo  %in% c(,"42010, 42015, 42020, 42036, 42051:42054","), """,36005,""",",Tratamento_ambulatorial,36005
2002,Despesas diversas (DDI),Assistencia_a_saude,Servicos_de_cirurgia,42005,,Servicos_de_cirurgia,42005,Codigo  %in% c(,42005,"), """,36006,""",",Servicos_de_cirurgia,36006
2002,Despesas diversas (DDI),Assistencia_a_saude,Hospitalizacao,42006,,Hospitalizacao,42006,Codigo  %in% c(,42006,"), """,36007,""",",Hospitalizacao,36007
2002,Despesas diversas (DDI),Assistencia_a_saude,Exames_diversos,"42007:42009, 42021, 42030, 42032:42033",,Exames_diversos,"42007:42009, 42021, 42030, 42032:42033",Codigo  %in% c(,"42007:42009, 42021, 42030, 42032:42033","), """,36008,""",",Exames_diversos,36008
2002,Despesas diversas (DDI),Assistencia_a_saude,Material_de_tratamento,"29051, 29054:29060, 29062:29067, 29069:29073, 29075:29078, 29080:29083, 29086:29087, 29100, 29130, 29132, 42011:42012, 42023, 42027:42028, 42034",,Material_de_tratamento,"29051, 29054:29060, 29062:29067, 29069:29073, 29075:29078, 29080:29083, 29086:29087, 29100, 29130, 29132, 42011:42012, 42023, 42027:42028, 42034",Codigo  %in% c(,"29051, 29054:29060, 29062:29067, 29069:29073, 29075:29078, 29080:29083, 29086:29087, 29100, 29130, 29132, 42011:42012, 42023, 42027:42028, 42034","), """,36009,""",",Material_de_tratamento,36009
2002,Despesas diversas (DDI),Assistencia_a_saude,Outras_assistencia_saude,"29052:29053, 29061, 29068, 29079, 42002, 42013, 42016:42019, 42022, 42029, 42098",,Outras_assistencia_saude,"29052:29053, 29061, 29068, 29079, 42002, 42013, 42016:42019, 42022, 42029, 42098",Codigo  %in% c(,"29052:29053, 29061, 29068, 29079, 42002, 42013, 42016:42019, 42022, 42029, 42098","), """,36010,""",",Outras_assistencia_saude,36010
2002,Despesas diversas (DDI),Educacao,Cursos_regulares,"49001, 49031:49032",,Cursos_regulares,"49001, 49031:49032",Codigo  %in% c(,"49001, 49031:49032","), """,37001,""",",Cursos_regulares,37001
2002,Despesas diversas (DDI),Educacao,Curso_superior,49033,,Curso_superior,49033,Codigo  %in% c(,49033,"), """,37002,""",",Curso_superior,37002
