celula,grupo_base,nome_base,grupo_outra,nome_outra,explicada_por,itens
2017:6007,31003,Telefonia,31007,Outros servicos etc,form#48b8378f,PACOTE COM TELEFONE FIXO E CELULAR
2017:6008,31003,Telefonia,31004,Telefone celular,form#50f9116d,PACOTE COM TELEFONE FIXO E INTERNET
2017:6009,31003,Telefonia,31004,Telefone celular,form#50f9116d,PACOTE COM TELEFONE FIXO E TV POR ASSINATURA
2017:6010,38002,Celular e acessorios,31007,Outros servicos etc,form#48b8378f;form#cfd0e5d6,PACOTE COM CELULAR E INTERNET
2017:6011,38002,Celular e acessorios,31007,Outros servicos etc,form#48b8378f;form#cfd0e5d6,PACOTE COM CELULAR E TV POR ASSINATURA
2017:6013,31003,Telefonia,31004,Telefone celular,form#50f9116d,"PACOTE COM TELEFONE FIXO, CELULAR E INTERNET"
2017:6016,38002,Celular e acessorios,31004,Telefone celular,form#50f9116d;form#cfd0e5d6,"PACOTE COM CELULAR, INTERNET E TV POR ASSINATURA"
2017:63005,01199,Outros,01103,Outros,,PIPOCA DE ARROZ INDUSTRIALIZADA
2017:63006,01104,Cevada,01103,Outros,,CEVADA EM GRAO
2017:63009,01105,Trigo,01103,Outros,,FARELO DE TRIGO (QUIRERA) | MASSA DE TRIGO | QUIRERA DE TRIGO | TRIGO EM GRAO | TRIGO INTEGRAL
2017:63010,01199,Outros,01103,Outros,,AMENDOIM EM CASCA IN NATURA | AMENDOIM EM GRAO IN NATURA | AMENDOIM NATURAL | MEDUBIM | MENDOBIM | MENDOIM
2017:63011,01213,Ervilha em grãos,01103,Outros,form#6cb80bc5,ERVILHA EM GRAO
2017:63017,01202,Feijão-jalo,01208,Outros feijões,,FEIJAO DO SUL | FEIJAO ENCARNADO | FEIJAO ENXOFRAO | FEIJAO GORDO | FEIJAO JALO | FEIJAO MOLEQUE | FEIJAO VERMELHO
2017:63020,01199,Outros,01103,Outros,,SEMENTE DE LINHACA
2017:63026,01208,Outros feijões,01103,Outros,,ANDU | FEIJAO ANDU | FEIJAO CRISTA | FEIJAO GUANDO | FEIJAO GUANDU | FEIJAO GUINE | FEIJAO SETE CAMADAS | GUANDO | GUANDU
2017:63027,01211,Tremolo,01103,Outros,,TREMOCO | TREMOCO AMARELO | TREMOCO BRANCO
2017:63028,01209,Grão de bico,01103,Outros,,GRAO DE BICO
2017:63029,01210,Lentilha,01103,Outros,,LENTILHA
2017:63030,01212,Soja em grão,01103,Outros,,FEIJAO SOJA | SOJA EM GRAO
2017:63032,01299,Outras,01103,Outros,form#89c7abae,SEMENTE DE ABOBORA
2017:63037,01212,Soja em grão,01103,Outros,,FEIJAO SOJA ORGANICO | SOJA EM GRAO ORGANICA
2017:63047,01299,Outras,01209,Outras,,LINHACA DOURADA
2017:63048,01299,Outras,01209,Outras,,SORGO EM GRAO
2017:63049,01299,Outras,01209,Outras,,QUINOA
2017:63050,01299,Outras,01209,Outras,,FEIJAO BRANCO
2017:63055,01208,Outros feijões,01101,Arroz integral; Arroz não especificado; Arroz polido,,FEIJAO SEMIPRONTO NAO ESPECIFICADO
2017:63056,01208,Outros feijões,01101,Arroz integral; Arroz não especificado; Arroz polido,,FEIJAO AZUKI
2017:63057,01299,Outras,01209,Outras,,SEMENTE NAO ESPECIFICADA
